"id","qid","dataset","plottype","response","cresponse","correct","responsen","cresponsen","qsubid"
"R_ekPM1Syz0w3SC9K",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_ekPM1Syz0w3SC9K",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_ekPM1Syz0w3SC9K",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_bQRG1H7frzNaEQs",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bQRG1H7frzNaEQs",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bQRG1H7frzNaEQs",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bQRG1H7frzNaEQs",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_d0jsFdwwwPH4qm8",2,"A","circos","3_2_1_4","4_1_2_3",FALSE,3,4,1
"R_d0jsFdwwwPH4qm8",2,"A","circos","3_2_1_4","4_1_2_3",FALSE,2,1,2
"R_d0jsFdwwwPH4qm8",2,"A","circos","3_2_1_4","4_1_2_3",FALSE,1,2,3
"R_d0jsFdwwwPH4qm8",2,"A","circos","3_2_1_4","4_1_2_3",FALSE,4,3,4
"R_bIrefWwgM8eoCOw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bIrefWwgM8eoCOw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bIrefWwgM8eoCOw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bIrefWwgM8eoCOw",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_bQosMSXWXg07Ljm",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bQosMSXWXg07Ljm",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bQosMSXWXg07Ljm",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bQosMSXWXg07Ljm",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_0O0VLA2fLGC5SAI",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_0O0VLA2fLGC5SAI",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_0O0VLA2fLGC5SAI",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,2,2,3
